"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","Y","cluster_kmedoids"
"2",2,1,2,4,6,3,1,1,1,1,1,"2","4"
"3",1,1,2,4,6,9,2,1,1,1,1,"5","4"
"4",1,1,2,4,6,2,2,1,1,1,1,"5","4"
"5",1,1,3,4,6,3,2,2,1,1,2,"5","4"
"6",1,1,2,5,6,3,1,1,1,1,1,"5","4"
"7",2,1,2,4,2,2,1,1,1,1,1,"3","5"
"9",2,1,2,4,6,3,1,1,1,1,1,"2","4"
"11",1,1,2,4,5,5,1,1,1,3,1,"4","3"
"12",1,1,2,5,6,3,1,1,1,1,1,"5","4"
"13",1,2,2,4,6,3,1,1,1,1,2,"1","4"
"14",3,1,2,4,6,3,1,1,1,1,1,"3","4"
"15",3,1,2,4,6,3,1,1,1,1,1,"1","4"
"18",1,1,2,4,2,3,1,1,1,1,1,"4","5"
"19",1,1,2,3,2,3,1,1,1,1,1,"4","5"
"20",1,1,2,4,6,3,1,1,1,1,1,"3","4"
"22",1,1,2,4,2,2,1,1,1,1,1,"3","5"
"23",1,1,2,4,6,3,1,1,1,1,1,"2","4"
"24",1,1,2,5,5,3,1,1,1,3,1,"2","3"
"26",2,1,2,6,2,3,2,1,1,1,1,"4","5"
"27",1,1,2,4,2,3,1,1,1,1,1,"2","5"
"28",1,1,2,4,6,2,1,1,1,1,2,"5","4"
"29",1,1,2,4,6,3,1,1,1,1,1,"5","4"
"31",1,1,1,4,6,2,1,1,1,1,1,"2","4"
"32",1,1,2,4,6,3,1,1,1,1,1,"5","4"
"33",2,1,2,4,2,3,1,1,1,1,1,"2","5"
"34",2,1,2,4,2,3,1,1,1,1,2,"2","5"
"35",3,1,2,4,2,3,1,1,1,1,1,"4","5"
"36",1,1,2,4,6,2,1,1,1,1,1,"5","4"
"37",1,1,2,4,6,3,2,1,1,1,2,"3","4"
"39",1,1,2,4,6,3,1,1,1,1,1,"2","4"
"40",2,1,2,4,6,3,1,1,1,1,1,"3","4"
"41",2,1,2,4,2,3,1,1,1,1,1,"2","5"
"43",1,1,2,4,6,2,1,1,1,1,1,"2","4"
"44",1,1,2,4,2,3,1,1,1,1,2,"2","5"
"45",1,1,2,5,6,5,1,1,1,1,1,"5","4"
"49",3,1,2,4,6,8,2,1,1,1,1,"1","4"
"50",1,1,2,4,6,5,1,1,1,1,2,"2","4"
"51",3,1,2,4,2,3,1,1,1,1,1,"3","5"
"52",1,1,2,4,2,2,1,1,1,1,1,"3","5"
"53",1,1,2,4,2,3,1,1,1,1,1,"3","5"
"55",1,1,2,4,2,3,1,1,1,1,1,"4","5"
"58",2,2,2,4,6,3,2,1,1,1,1,"1","4"
"59",1,1,2,4,2,3,1,1,1,1,1,"4","5"
"60",1,1,4,4,2,5,1,3,1,1,2,"2","5"
"61",1,1,2,4,2,3,2,1,1,1,1,"4","5"
"63",2,1,2,4,2,3,1,1,1,1,1,"4","5"
"66",1,1,2,4,5,3,1,1,1,1,1,"5","4"
"67",1,1,2,4,2,3,1,1,1,1,1,"2","5"
"68",2,1,2,4,2,2,1,1,1,1,1,"4","5"
"69",2,1,2,4,2,3,1,1,1,1,1,"1","5"
"70",1,1,2,5,6,3,1,1,1,1,1,"3","4"
"72",2,1,2,4,2,3,1,1,1,1,1,"4","5"
"73",1,1,2,4,2,3,1,1,1,1,1,"3","5"
"74",1,1,2,4,2,3,1,1,1,1,1,"4","5"
"75",3,1,3,4,6,2,1,1,1,3,2,"1","3"
"76",1,1,2,4,2,2,1,1,1,1,1,"4","5"
"77",2,1,2,4,6,3,2,1,1,1,1,"3","4"
"78",1,1,2,4,6,3,2,1,1,1,1,"5","4"
"81",1,1,2,4,2,3,1,1,1,1,1,"3","5"
"82",1,1,2,4,6,3,1,1,1,1,2,"2","4"
"83",1,1,2,4,6,3,1,1,1,1,2,"5","4"
"84",1,1,2,4,2,3,2,1,1,1,2,"2","5"
"87",1,1,2,4,2,3,1,1,1,1,1,"3","5"
"89",1,1,2,4,6,3,1,1,1,1,1,"5","4"
"90",2,1,2,4,2,3,1,1,1,1,1,"2","5"
"91",2,1,2,4,6,3,1,1,1,1,1,"3","4"
